Symbol,Count
SIC/LYV ~,1
SIC/DHI ~,3
SIC/CBU3 N,498
SIC/JXN ~,1
SIC/TLH ~,15
SIC/IEMG ~,6
SIC/EDU N,2
SIC/SX7EEX N,1
SIC/THD ~,4
SIC/0QBO N,1
SIC/PHR N,1
SIC/AD N,1
SIC/SID N,2348
SIC/GTLB ~,2
SIC/DNUT ~,2
SIC/PBF ~,5785
SIC/SLMC N,2
SIC/MP ~,13
NAC/TS ~,1
SIC/IEGMX N,2
SIC/LEA ~,1
SIC/LI N,2
SIC/QQEW ~,23
SIC/ALTM N,4
SIC/MPC ~,2
SIC/ITX N,2
SIC/IVZ N,1
SIC/VLO ~,2660
SIC/MLM ~,1519
SIC/SHW ~,1462
SIC/KIM ~,2
SIC/SPGI ~,399
SIC/KSS ~,1
SIC/VICI ~,12
SIC/MEXS N,11
SIC/BDX ~,12
SIC/CME ~,13
SIC/SPDW ~,2
SIC/EXC ~,6
SIC/CBRE ~,1
SIC/CIFR ~,4
SIC/NVG N,1
SIC/DD ~,1
SIC/CDLX ~,1
SIC/AWK ~,1
SIC/DDOG ~,5
SIC/RACE N,1706
SIC/VTC ~,1
SIC/UBI N,2
SIC/GIL N,729
SIC/RMS N,1
SIC/SKYY ~,1
SIC/SEG ~,2
SIC/DVA ~,1
SIC/BBWI ~,2
SIC/ELV ~,4
SIC/CRDO N,3
SIC/STAG ~,2
SIC/OSK ~,1
SIC/ALGN ~,1
SIC/AMT ~,2
SIC/BKR ~,1
SIC/KR ~,1
SIC/PGR ~,1
SIC/REPS N,1
SIC/REGN ~,9
SIC/ACHC ~,3
SIC/ALT1 ~,11
SIC/SDEM ~,1
SIC/HYLA N,1
SIC/EXPI ~,4
SIC/JACK ~,7
SIC/HUT1 ~,2
SIC/FDN ~,104
SIC/IFGL ~,1
SIC/STNE N,1
SIC/FLAX ~,1
SIC/TFRN N,1
SIC/ANE N,1
SIC/PALL ~,1
SIC/KVUE ~,1
SIC/ATKR ~,16
SIC/ANET ~,11
SIC/FCG ~,1
SIC/MDLZ ~,3
SIC/EWO ~,7
SIC/PNC ~,1
SIC/UBOT ~,1
SIC/SPSM ~,1
SIC/ESPO N,1
SIC/RTH ~,1
SIC/VFC ~,1
SIC/TIP ~,8
SIC/TWM ~,1
SIC/914 N,1
SIC/COPX ~,1
SIC/IYG ~,326
SIC/SAVE ~,1
SIC/WIAU N,1
SIC/SPG ~,1
SIC/ZPR1 N,1
SIC/SPYV ~,1
SIC/IDTP N,35
SIC/PROK N,1
SIC/NVS N,2
SIC/IPAC ~,1
SIC/MTTR ~,1
SIC/TFLO ~,555
SIC/TT N,1
SIC/HLQD N,21
SIC/DHYA N,6
SIC/ANGL ~,2
SIC/PLD ~,8
SIC/XBI ~,4
SIC/PKX N,1
SIC/IJPAX N,2
SIC/LAZR ~,4
SIC/LW ~,1
SIC/DXD ~,133
SIC/PWFL ~,1
SIC/TME N,1
SIC/EPOL ~,1
SIC/FIW ~,1
SIC/CNI N,1
SIC/SUPV N,1
SIC/IXJ ~,1
SIC/GRMN N,1
SIC/LQDMX N,1
SIC/NG N,1
SIC/REG1 ~,1
SIC/LEN ~,1
SIC/GRID ~,1
SIC/IUES N,2
SIC/POOL ~,2
NAC/FSITES 20,1
SIC/FWRA N,1
SIC/CPRT ~,2
NAC/INFRAEX 18,1
SIC/SOND ~,10
SIC/9988 N,1
SIC/TDW ~,1
SIC/CTVA ~,1
SIC/HYS ~,10
SIC/MOS ~,1
SIC/ARR ~,1
SIC/MCO ~,3
SIC/TXT ~,2
SIC/VFH ~,1
SIC/EPP ~,1
SIC/QUAL ~,3
SIC/EWP ~,1
SIC/IYF ~,6
SIC/NUE ~,1
SIC/EWH ~,2
SIC/IWF ~,1
SIC/EFA ~,4
SIC/IWD ~,2
SIC/FLGT ~,1
SIC/GMED ~,1
SIC/EMCA N,2
SIC/ESML ~,3
SIC/EW ~,3
SIC/EFG ~,2
SIC/EFV ~,2
SIC/ERJ N,1
SIC/TKC N,1
