Symbol,Count
SIC/XLB ~,7077
SIC/XLC ~,25587
SIC/CIBR ~,4
SIC/HON ~,3469
SIC/RBOT N,248
SIC/PSI ~,1
SIC/AIR N,2
SIC/VNQI ~,5
SIC/CMCSA ~,21
SIC/QCLN ~,4448
SIC/RVLV ~,3
SIC/MASI ~,1
SIC/SPYG ~,32
SIC/EWN ~,12
SIC/SIXG ~,2
SIC/IVW ~,3
SIC/IYW ~,10721
SIC/SKLZ ~,3
SIC/EWC ~,43
NAC/SIMEC B,26844
NAC/IDEAL B-1,4
SIC/ORCL ~,7847
SIC/IBTA N,94895
SIC/IHYA N,40852
SIC/GEN ~,1
SIC/JKS N,1
SIC/WMT ~,6634
SIC/LQDA N,46993
NAC/CONVER A,5
SIC/IUSZ N,1
SIC/ECAR N,236
SIC/ALLY1 ~,2
SIC/DUK ~,1
NAC/PSOTRAC 15,11717
SIC/MMM ~,6638
SIC/EBAY ~,6682
SIC/TBBB N,11
SIC/BRBR ~,1
SIC/ALO N,2
SIC/SPXL ~,25995
NAC/SRE ~,7870
SIC/GILD ~,3
SIC/BTEC1 N,186
SIC/PHR N,1
SIC/UPWK ~,3
SIC/MPW ~,5
SIC/CRTO N,1
SIC/FNV N,1
SIC/VPL ~,6
SIC/PII ~,1
SIC/EWT ~,20
SIC/GE ~,6865
SIC/CSPXX N,22303
SIC/FTNT ~,8949
SIC/TIP ~,6
SIC/SNAP ~,18375
SIC/PATH ~,6912
SIC/EQIX ~,1
SIC/WAB ~,2
SIC/EPI ~,1
SIC/CDNS ~,8
SIC/AZN N,7093
NAC/ESGMEX ISHRS,16038
SIC/NXTG ~,2
SIC/FBT ~,1
SIC/SABE N,1
SIC/MAT ~,5
SIC/SIMO N,1
SIC/JNJ ~,7885
SIC/SPYD ~,1
SIC/BN1 N,1
SIC/ABBV ~,7359
NAC/POCHTEC B,23
SIC/EWL ~,22
SIC/TMF ~,9640
SIC/C300 N,1
SIC/KSA ~,5
SIC/IUIS N,2
SIC/PBW ~,2
SIC/ZK N,1
SIC/DTE N,2
NAC/GFMULTI O,2
SIC/SAP N,7
SIC/LABD ~,18817
SIC/HPE ~,4531
SIC/MRK ~,9230
SIC/MEDP ~,1
SIC/GSM N,2
SIC/NOK N,10
SIC/VJPA N,33179
SIC/VAPU N,32543
SIC/SUU N,1
SIC/LABU ~,34423
SIC/EL ~,7
SIC/AA1 ~,5903
SIC/PAVE ~,2
SIC/OR N,1
SIC/VGT ~,10735
SIC/JWN ~,4087
SIC/CAT ~,7045
SIC/IOGP N,2
SIC/ROST ~,148
SIC/IUUS N,1
SIC/XOM ~,10364
SIC/HACKUS ~,2
SIC/IDRV ~,3093
SIC/IUFS N,1
SIC/BBRE ~,2
SIC/U ~,15386
SIC/XLP ~,7723
SIC/AMGN ~,2
SIC/DPZ ~,2768
SIC/AEP ~,1
SIC/SO ~,3
SIC/CWEN ~,2
SIC/BMWM5 N,1
SIC/WMI ~,1
NAC/GPH 1,6
SIC/BHP N,3
SIC/LLY ~,7733
SIC/GS ~,7533
SIC/QAT ~,1
SIC/GDDY ~,2
SIC/EWM ~,10
SIC/CRSR ~,12
SIC/VUKE N,1
NAC/FMX 23-2,3
SIC/VEU ~,1
SIC/FSLY ~,19
SIC/TEF N,4
NAC/ALEATIC ~,2
SIC/GLDM ~,2
SIC/AFRM ~,18990
SIC/ERIC N,1
SIC/CUBE ~,2
SIC/DB N,11569
SIC/CVAC N,2
SIC/PG ~,8102
SIC/HD ~,7269
SIC/MQ ~,1
SIC/GEHC ~,3
SIC/KLG ~,2
SIC/EMR ~,2
SIC/PTON ~,17022
SIC/CLF ~,19133
SIC/VPU ~,1
SIC/MO ~,3222
SIC/BBUSA N,443
SIC/AIQ ~,18
SIC/CROX ~,1
SIC/JQUA ~,1
SIC/HUBS ~,1
SIC/PARA ~,13194
SIC/DGE N,1
SIC/SPOT N,6510
SIC/PROK N,6
SIC/YUMC ~,2
SIC/CRNC ~,2
SIC/FXI ~,10630
SIC/PAYC ~,3
SIC/VRT ~,7
SIC/GEVO ~,4
NAC/SOMA 21,9
SIC/MUFG N,3
SIC/SOL N,1
SIC/WKHS ~,7
SIC/BLDR ~,1
SIC/WSML N,3
SIC/AMCR N,1
SIC/DRIV ~,14
SIC/FANG ~,9
SIC/CTLT ~,3
SIC/HUT1 ~,5
SIC/XT ~,1567
SIC/BBEU ~,1
SIC/FINX ~,3
SIC/THD ~,3
SIC/NUGT ~,8945
NAC/KIMBER B,3
SIC/BA1 N,2
SIC/CABA ~,2
SIC/AFK ~,1
SIC/MRO ~,26
SIC/IJS ~,1
SIC/HDV ~,8
SIC/PARR ~,1
SIC/DOCU ~,6
SIC/LMND ~,6191
SIC/CAN N,15
SIC/WULF ~,3
NAC/KUO A,1
SIC/XBI ~,5
SIC/EXPE ~,5737
SIC/ESGU ~,3453
